month,season,temperature,precipitation,job_type,village_population,num_jobs_posted,avg_wage
10,Winter,24.228984004829137,32.95704432762964,Beauty and Wellness,2441,13,384
9,Monsoon,30.738423732935438,44.65580042748166,"Transportation, Logistics",4488,27,454
11,Winter,32.150517708077324,13.673500474716482,"Travel, Tourism and Hospitality",1031,5,494
2,Winter,28.29490246038894,22.11679804108484,"Transportation, Logistics",2745,14,471
5,Summer,38.23909072379922,3.1731431172268953,Telecommunications,4502,23,623
10,Winter,33.53893635259557,23.760252434147727,Beauty and Wellness,4961,24,391
8,Monsoon,29.993827306317836,89.49070038813241,IT and ITeS,3598,17,814
2,Winter,44.86686368391531,46.56970963271391,"Transportation, Logistics",4787,27,461
8,Monsoon,31.838660715860534,22.436782317021297,Furniture and Furnishing,1790,8,414
2,Winter,26.282815951100282,1.8887354198789508,Domestic Help,1898,12,293
12,Winter,20.949781799032383,25.428030906770065,IT and ITeS,3155,19,792
7,Monsoon,41.5186953962674,76.71703764751337,"Transportation, Logistics",4064,20,452
7,Monsoon,21.01643825648407,76.430000197451,Healthcare,2648,31,1097
6,Monsoon,44.888871929276306,92.57436062970453,Telecommunications,1524,11,594
12,Winter,25.748514583561377,48.811553274877596,Healthcare,3591,17,604
10,Winter,37.65981623397143,47.956970022939366,Furniture and Furnishing,2431,10,384
2,Winter,30.378928322526782,14.388415343584244,"Building, Construction and Real Estate",3251,19,451
10,Winter,33.46193419449226,5.105930511511103,Furniture and Furnishing,1706,7,408
7,Monsoon,29.631998084068123,98.05331157865014,Furniture and Furnishing,2090,9,397
4,Summer,44.466336578115836,9.286441954785364,Pharmaceuticals,4052,20,573
11,Winter,20.4629045398777,23.048202799696675,Food Processing,1300,8,393
2,Winter,24.459224738659422,30.057873527793987,Auto and Auto Components,4207,19,504
6,Monsoon,39.17527246636689,28.291431814308847,Electronics and IT hardware,3211,14,644
6,Monsoon,29.394327203696193,81.15572133088888,Leather and Leather Goods,3631,21,400
10,Winter,29.67444610077324,35.29986518899216,Leather and Leather Goods,1377,9,406
11,Winter,37.36568138303133,12.134705354133663,Private Security Services,1587,9,386
4,Summer,47.586040705775055,5.049723979705445,Handlooms and Handicrafts,1102,9,394
5,Summer,40.82933623093183,4.197721270361223,Media and Entertainment,3048,19,522
9,Monsoon,22.9591859525706,53.294215329111026,Telecommunications,3937,19,612
1,Winter,35.19200888422818,42.689968631127726,Media and Entertainment,2374,12,511
5,Summer,47.08769106901931,4.276773342849339,Textile and Clothing,2018,10,364
7,Monsoon,43.016406036150705,85.2841440827003,Leather and Leather Goods,4114,23,419
10,Winter,44.003835859689985,2.626591842484433,Leather and Leather Goods,4031,23,415
1,Winter,27.469665277182855,49.310731140725714,Retail,4575,22,394
6,Monsoon,38.34290226695773,33.061776466076005,"Building, Construction and Real Estate",4493,22,444
5,Summer,38.63788383359303,9.250244898868141,"Building, Construction and Real Estate",3375,18,466
12,Winter,43.5717398987406,22.943068777021974,Beauty and Wellness,2018,10,401
7,Monsoon,26.233091578785,70.83920601180887,Auto and Auto Components,2401,12,512
5,Summer,43.440027321813886,0.5025500623307466,Domestic Help,2805,14,286
10,Winter,34.3402701557924,38.31324572301259,Banking and Financial Services,1184,3,722
9,Monsoon,29.123949130794536,34.90899765588143,IT and ITeS,4955,25,804
11,Winter,38.414467779662075,39.394411832902435,Furniture and Furnishing,3551,16,390
5,Summer,37.605568807114615,9.750480650317987,Beauty and Wellness,3431,16,421
4,Summer,47.29159301748601,7.0495446651419815,"Building, Construction and Real Estate",4138,21,457
12,Winter,42.861473526773665,45.133478202481236,Domestic Help,4466,21,283
10,Winter,21.44511673779143,24.348288168013866,Textile and Clothing,4817,23,349
6,Monsoon,27.64721467723865,59.40995399327039,Furniture and Furnishing,2118,11,411
1,Winter,25.508479044846393,37.761754908998476,Private Security Services,1555,11,414
12,Winter,37.232487792648485,4.121402534453372,Textile and Clothing,4203,19,352
7,Monsoon,32.25062869519531,85.1370247589888,Healthcare,4785,48,1117
3,Summer,44.89502658765991,5.07959322257162,Furniture and Furnishing,2393,13,401
2,Winter,36.27299586347607,44.06550479666253,Private Security Services,4243,22,400
11,Winter,30.509220429163264,46.6926554534295,Food Processing,3012,14,421
7,Monsoon,38.86302783962809,50.60025984657244,Beauty and Wellness,1272,8,396
8,Monsoon,23.476510032807628,89.1603695318831,"Building, Construction and Real Estate",1527,4,187
9,Monsoon,21.34062776967891,31.96692454042905,"Building, Construction and Real Estate",4322,25,451
5,Summer,40.973775279567704,7.922688404728799,Telecommunications,4571,21,588
5,Summer,36.76988729802577,0.3976055683905788,Banking and Financial Services,1191,4,693
11,Winter,36.71891362121916,10.455407856057331,Leather and Leather Goods,1946,9,415
10,Winter,41.51809884796917,11.240625012009314,Domestic Help,4240,22,295
12,Winter,26.95093342292636,20.002204802924382,Agriculture,2097,12,365
5,Summer,35.9330042492358,2.2394418014766195,Private Security Services,1882,14,395
12,Winter,36.230689445401524,1.4737569493657399,Telecommunications,1476,11,626
4,Summer,41.59613314299637,8.704718277879394,IT and ITeS,1630,7,790
8,Monsoon,27.647644345162902,30.426886329392822,"Travel, Tourism and Hospitality",4655,27,505
10,Winter,31.15854331698762,37.05974932718893,Media and Entertainment,4525,25,500
10,Winter,28.441740094861174,16.787114695988127,Electronics and IT hardware,1360,10,655
1,Winter,38.800536831489126,49.11327674158445,"Transportation, Logistics",4962,25,436
1,Winter,23.55163254917907,41.87125950866511,Beauty and Wellness,2561,16,401
8,Monsoon,23.963413982473437,60.808189397082835,"Travel, Tourism and Hospitality",2138,14,514
11,Winter,31.75923590460245,41.970445384660025,Electronics and IT hardware,4666,25,669
8,Monsoon,22.957696863769083,52.149687541439114,"Building, Construction and Real Estate",3241,7,199
10,Winter,34.88065107340569,23.541246702063034,Food Processing,4789,27,388
4,Summer,43.93306758926821,2.3251710661203107,Healthcare,2572,29,1085
8,Monsoon,25.015925430155256,81.26431565314678,Domestic Help,2369,12,306
6,Monsoon,35.7382523181945,93.48922273742944,Banking and Financial Services,3508,16,718
10,Winter,22.800709243232763,30.556013860873605,Food Processing,3948,22,403
7,Monsoon,33.04396570332884,41.53569008374589,Auto and Auto Components,4816,24,490
11,Winter,25.328582815072185,13.781039371373021,Leather and Leather Goods,2845,15,409
4,Summer,36.08526691332553,7.7830166806072825,Telecommunications,2462,14,616
8,Monsoon,27.48360721544879,66.51207222457434,Pharmaceuticals,2340,13,543
7,Monsoon,31.436879059392158,32.47907141404884,Pharmaceuticals,1522,11,543
5,Summer,45.42769255705867,8.137044260496097,"Travel, Tourism and Hospitality",4693,25,513
10,Winter,42.066894624204025,40.036404635701125,"Building, Construction and Real Estate",3019,17,468
11,Winter,20.122621629600097,41.12008761075959,Pharmaceuticals,4580,22,574
8,Monsoon,43.70851418557625,69.9175087571668,IT and ITeS,2680,15,808
10,Winter,30.713607205221273,44.218272341723015,Furniture and Furnishing,3905,22,421
11,Winter,29.345483479235792,37.623293160653844,Auto and Auto Components,2900,14,504
9,Monsoon,20.084738428435426,78.63443657209629,Retail,4504,20,397
5,Summer,41.644435903217335,2.426335457443348,Beauty and Wellness,2542,10,416
5,Summer,42.87114615377115,0.20517393309543608,Telecommunications,3264,19,616
10,Winter,39.72399499809987,29.55069509618268,Furniture and Furnishing,1608,8,395
11,Winter,24.13256808501967,31.329089727504233,Healthcare,4219,19,593
9,Monsoon,22.102176291814924,37.68444294895478,"Transportation, Logistics",2473,12,434
9,Monsoon,31.486299612827516,41.251479865725315,Leather and Leather Goods,4763,22,411
11,Winter,34.27838080930445,5.297289974692987,"Travel, Tourism and Hospitality",2909,13,486
10,Winter,28.26598208306055,24.385376638293266,Agriculture,2944,17,335
7,Monsoon,44.983204894928036,20.768884026783603,IT and ITeS,4399,24,825
3,Summer,46.08169667954643,8.263934640573058,IT and ITeS,2189,11,825
7,Monsoon,27.441794434723125,62.230386058058556,Healthcare,2329,19,1109
1,Winter,28.377261048818134,14.169723574439342,Domestic Help,2950,13,288
6,Monsoon,31.147137161606583,55.89582988905902,IT and ITeS,3531,22,826
12,Winter,37.52972662927436,5.77143196228051,"Travel, Tourism and Hospitality",1465,6,520
5,Summer,36.35745282507859,8.188423925410275,Pharmaceuticals,4117,21,570
12,Winter,34.649992164262926,45.84389374939488,Food Processing,2975,18,388
9,Monsoon,24.290865088094062,60.141005222992035,"Building, Construction and Real Estate",1706,3,200
1,Winter,35.32754168837677,6.950135617654135,Handlooms and Handicrafts,4535,24,403
12,Winter,31.812660364822683,41.846242402119046,"Travel, Tourism and Hospitality",3639,19,488
4,Summer,42.97953648257123,7.8075843168605195,Food Processing,2339,12,386
1,Winter,31.00399851290949,12.043150457102836,Leather and Leather Goods,2633,12,388
12,Winter,21.14602643734058,44.28090121270219,Furniture and Furnishing,1479,11,404
2,Winter,43.37592570387068,3.0479237978848883,IT and ITeS,4800,22,793
2,Winter,36.570883591673365,26.323768085185517,Banking and Financial Services,1393,10,713
12,Winter,36.50937122552672,14.006393955165708,"Transportation, Logistics",2956,14,444
3,Summer,37.43808967811137,4.0148063160993255,Domestic Help,4449,23,317
2,Winter,26.66305934890041,31.056407587942896,Banking and Financial Services,2330,13,688
7,Monsoon,26.03538196025761,91.7357676905056,Furniture and Furnishing,2370,13,396
1,Winter,41.63610897309379,5.824714042315265,IT and ITeS,1954,11,816
4,Summer,40.3934026912776,5.068129152941671,Furniture and Furnishing,3233,18,410
6,Monsoon,43.638772631260395,83.81828555755231,"Travel, Tourism and Hospitality",4038,18,500
10,Winter,32.86455437992983,3.9973636808879167,Private Security Services,1195,6,413
12,Winter,30.67495531894115,8.333284710948702,Handlooms and Handicrafts,2183,12,376
11,Winter,34.397156320018865,25.794410251203807,Textile and Clothing,4073,21,361
7,Monsoon,20.56578731054357,49.60296970177089,Handlooms and Handicrafts,3314,21,367
9,Monsoon,26.099426562249498,99.90800525967715,"Transportation, Logistics",1853,8,447
4,Summer,45.2436747521562,8.471967967670063,Telecommunications,2321,12,618
9,Monsoon,32.87221240694303,53.97259443624348,IT and ITeS,2273,13,793
8,Monsoon,22.079399651059923,62.11479223392302,Handlooms and Handicrafts,3981,20,391
12,Winter,27.81425508260959,33.42253083028933,Domestic Help,2731,17,321
11,Winter,23.73831995814666,22.252233151199952,IT and ITeS,3330,19,793
9,Monsoon,41.224388356489484,27.736366274303954,Domestic Help,3963,20,315
6,Monsoon,38.33880036296196,49.308659034241266,Food Processing,4897,23,388
10,Winter,33.512304709510204,38.711303989766485,Banking and Financial Services,2181,14,708
10,Winter,26.297294751600408,5.543492772398634,Beauty and Wellness,2361,15,409
6,Monsoon,26.977813470731203,60.21233885309118,Food Processing,3614,18,396
2,Winter,23.464208781834735,37.98892028981754,"Building, Construction and Real Estate",3315,16,454
12,Winter,31.061533130003305,22.542137299159787,"Travel, Tourism and Hospitality",4114,23,514
2,Winter,34.587746182859,39.34910236378053,Beauty and Wellness,3822,20,421
7,Monsoon,39.86908529502755,38.4164441750993,Retail,1443,6,407
1,Winter,33.56689485492511,1.1639987929648044,Media and Entertainment,1995,10,524
2,Winter,41.244517170061584,34.833933695690675,Media and Entertainment,2263,10,488
1,Winter,29.102658140452288,46.3415338587858,Electronics and IT hardware,4317,22,656
6,Monsoon,34.55520329330086,99.37248062565716,Healthcare,2702,31,1095
6,Monsoon,22.550301940506426,42.775460609763776,Handlooms and Handicrafts,3207,19,368
10,Winter,44.084210791069296,11.339704177895605,Private Security Services,4140,25,386
3,Summer,36.49454379427773,5.623396457929919,Beauty and Wellness,4623,26,417
7,Monsoon,31.828852877719765,61.91389694587506,Leather and Leather Goods,3568,17,389
2,Winter,23.494769717162285,14.978387625092704,"Travel, Tourism and Hospitality",3510,19,489
4,Summer,44.06143342467443,3.3231548078815107,Retail,2794,14,408
1,Winter,44.758188501593885,15.684657575723804,Leather and Leather Goods,1440,7,390
1,Winter,33.922498214035656,36.86823137679844,Textile and Clothing,2264,16,354
10,Winter,20.86413054462103,8.102745347949142,Retail,1318,9,398
8,Monsoon,32.033433037061855,67.1083427590141,Private Security Services,2364,13,399
4,Summer,40.833358984416456,9.504978361565183,Agriculture,1391,10,362
10,Winter,34.09265969809584,15.913927490689433,Pharmaceuticals,4237,25,538
10,Winter,24.289063222973112,37.70052280852578,Handlooms and Handicrafts,1756,9,385
5,Summer,44.43263619001392,0.6585071418629518,Electronics and IT hardware,3477,18,675
1,Winter,24.431180288569994,41.33764781467345,Electronics and IT hardware,4025,25,675
4,Summer,44.092133306988956,9.765073593942631,Retail,1722,8,403
5,Summer,39.21088806001584,6.3916099862545845,"Transportation, Logistics",1284,10,472
2,Winter,36.57957296228702,27.59816313760539,"Travel, Tourism and Hospitality",3596,17,487
6,Monsoon,26.821874689036836,64.21525202646359,Leather and Leather Goods,1746,9,388
11,Winter,38.45302541462608,43.59341168039301,Domestic Help,3547,22,288
12,Winter,33.63677182431397,43.61518351128459,Handlooms and Handicrafts,4700,24,379
4,Summer,37.83097575568618,8.144760691244784,Retail,3454,16,409
10,Winter,44.43676064408644,36.107977600772884,Textile and Clothing,4214,24,373
7,Monsoon,22.608796083175108,40.65405693374271,Private Security Services,3049,17,401
6,Monsoon,36.80177111406692,70.55190675705583,Banking and Financial Services,4419,22,715
5,Summer,35.33794875951764,4.725251676879166,Domestic Help,2313,15,296
2,Winter,32.09337538337988,49.47142932145332,"Transportation, Logistics",3189,17,456
8,Monsoon,32.85480029257938,43.683814653271966,"Transportation, Logistics",3216,16,457
10,Winter,32.59886928495865,37.666857317643775,"Building, Construction and Real Estate",3240,19,446
11,Winter,43.23501405151491,7.473939143137964,Retail,3116,15,399
12,Winter,26.45589538962848,37.09555575908666,IT and ITeS,1550,9,796
4,Summer,43.08668223887848,8.943444522448132,Telecommunications,3597,18,590
1,Winter,25.988721837802782,12.16153587765162,Auto and Auto Components,1304,9,514
12,Winter,40.100471419178376,9.623470335649674,Agriculture,3636,16,359
3,Summer,43.62221189827469,5.705634226466039,Domestic Help,4905,27,314
3,Summer,39.339658687039304,5.173009766778374,Domestic Help,4301,22,296
8,Monsoon,21.96496616656392,80.27417281557695,Private Security Services,1890,10,390
8,Monsoon,40.034548908454866,67.12680257068138,Media and Entertainment,2818,15,487
12,Winter,24.84819004258955,26.76482945430359,Domestic Help,4105,22,315
2,Winter,35.96910933581689,31.594399657895234,Telecommunications,4433,22,589
12,Winter,33.97050023449519,21.225532130002307,Healthcare,4141,22,620
2,Winter,35.05599682594726,18.788664599792813,Telecommunications,4423,20,608
8,Monsoon,30.874369194008224,76.43231231838367,Retail,4966,26,411
5,Summer,46.51142552830676,2.74699312963248,Leather and Leather Goods,2863,15,410
6,Monsoon,41.13129807460278,94.69988836094691,Electronics and IT hardware,3853,21,659
5,Summer,46.46715433507856,0.7334718800761719,Textile and Clothing,1906,12,356
3,Summer,38.74856931402157,4.877542048483504,Retail,2022,12,392
10,Winter,39.44189543189013,6.088956668266954,Textile and Clothing,1334,7,354
11,Winter,35.542661067001866,23.573632876885455,Electronics and IT hardware,2220,13,660
8,Monsoon,39.94954407999127,78.15986949418523,Telecommunications,1259,7,599
8,Monsoon,32.74506586026611,81.6562132112872,Telecommunications,3283,21,603
3,Summer,37.794554859921725,6.466902199743058,Electronics and IT hardware,3782,18,667
12,Winter,32.66479250299908,15.241899116163381,IT and ITeS,4676,25,807
5,Summer,46.30739662958538,0.41053288542183486,Domestic Help,2091,9,318
3,Summer,40.95105692130184,3.198365151848864,"Transportation, Logistics",2051,11,451
9,Monsoon,29.36328083507788,24.67586318565815,Domestic Help,1017,4,285
3,Summer,45.861076416177895,0.8739039094548973,Media and Entertainment,2204,10,513
10,Winter,23.86822921450461,30.877400119835823,Media and Entertainment,1857,8,510
8,Monsoon,44.05280263247206,79.66508559532815,Telecommunications,3028,17,591
3,Summer,46.20994711175099,8.731193563428567,"Transportation, Logistics",4383,21,445
6,Monsoon,27.723048951121505,81.52957775184402,"Travel, Tourism and Hospitality",3164,19,516
7,Monsoon,31.212238166321782,63.534222029523306,Healthcare,1854,16,1118
6,Monsoon,24.87119315870315,72.79686602803184,Auto and Auto Components,3590,19,520
2,Winter,44.238537014952925,35.83748062180571,Food Processing,3187,17,422
9,Monsoon,40.7389907157705,40.151608151804055,Banking and Financial Services,4375,21,700
6,Monsoon,36.80066261060851,93.21070198696749,Retail,4959,26,385
6,Monsoon,33.156127285937046,76.83229545020468,Telecommunications,2685,16,621
3,Summer,43.905585595924954,1.4905211580237732,"Transportation, Logistics",3669,20,472
2,Winter,28.054185450914627,30.8141039926163,Private Security Services,1046,10,389
5,Summer,37.448288192414324,2.645929505125535,"Building, Construction and Real Estate",3018,16,435
12,Winter,41.48070655880055,47.30796471105325,Electronics and IT hardware,2560,12,642
12,Winter,41.95033390596559,11.183070936926665,Agriculture,3569,18,361
3,Summer,47.74476354363679,7.386978145433122,Handlooms and Handicrafts,4398,20,377
7,Monsoon,30.05788362818234,63.95949457290122,Textile and Clothing,4687,27,349
9,Monsoon,35.599298916850316,61.311235559786155,Telecommunications,3635,18,606
4,Summer,44.892758858065264,3.1616271848798294,"Building, Construction and Real Estate",3282,15,435
3,Summer,47.3783666918748,6.998400345371055,Handlooms and Handicrafts,4572,22,383
2,Winter,25.155920647426466,8.294365046886842,Agriculture,4642,22,368
6,Monsoon,32.79932368092783,66.2167566639908,Textile and Clothing,3958,24,358
10,Winter,33.17884207014331,32.71634469580459,Handlooms and Handicrafts,3134,17,365
10,Winter,37.81338451283371,1.732474786865651,"Travel, Tourism and Hospitality",4460,24,492
9,Monsoon,21.941605820087972,33.314900676835066,"Building, Construction and Real Estate",3087,16,461
9,Monsoon,41.41889650732891,83.43022680287646,Leather and Leather Goods,2288,14,401
3,Summer,42.66258792086625,0.5499287684221399,Private Security Services,3013,19,402
10,Winter,21.868055281597513,10.89609238581646,"Transportation, Logistics",4469,26,447
11,Winter,37.605859623889145,23.026431576992003,Leather and Leather Goods,1586,7,415
12,Winter,35.22093461181339,47.611421324088546,Auto and Auto Components,2220,9,511
10,Winter,33.452768625987574,5.251854272998674,"Transportation, Logistics",2769,16,454
2,Winter,24.907648261514243,42.953202770480594,Banking and Financial Services,3335,17,699
1,Winter,31.985271178800637,4.754200190636354,"Travel, Tourism and Hospitality",4702,22,496
4,Summer,38.44568570820142,8.67861891257366,IT and ITeS,4629,25,791
3,Summer,38.19595513496718,3.7088083894902235,Domestic Help,2652,15,313
12,Winter,20.71184802319663,27.77364123786517,"Building, Construction and Real Estate",4070,22,459
4,Summer,44.02891665506865,0.3212749188198172,Telecommunications,3905,18,624
8,Monsoon,28.9469114680771,57.107486603372195,Healthcare,3021,17,624
8,Monsoon,20.928603912917275,60.714647271345385,Banking and Financial Services,3114,18,704
3,Summer,38.662768203445815,7.737974737187506,Food Processing,1675,9,387
7,Monsoon,27.328010045520912,92.09335865399173,Private Security Services,2743,17,395
8,Monsoon,33.644937287635834,29.407267392854006,Beauty and Wellness,4361,26,400
1,Winter,38.556488849382475,47.89966663790684,Handlooms and Handicrafts,2011,10,403
8,Monsoon,41.68484152944485,57.20936911216937,Pharmaceuticals,3513,21,570
6,Monsoon,21.150704857487312,22.70343375593172,Pharmaceuticals,3905,18,564
5,Summer,44.77028767981471,2.497018811755165,Telecommunications,3848,19,596
1,Winter,43.30076853435338,24.20818774433084,"Travel, Tourism and Hospitality",4951,26,488
7,Monsoon,26.173963627208558,28.012708863940283,Auto and Auto Components,4485,27,495
3,Summer,43.426867833848114,3.96002481437697,"Transportation, Logistics",4412,23,452
5,Summer,45.14492870660564,3.641789732490902,Domestic Help,3842,19,304
3,Summer,38.351722859786975,0.6658726212045563,Retail,1161,10,416
9,Monsoon,39.934982351704775,33.98922311729953,Media and Entertainment,2693,14,511
10,Winter,30.192688874757213,17.6919071212367,Pharmaceuticals,3155,13,574
11,Winter,25.741531127490013,46.6068960052107,IT and ITeS,3885,20,815
6,Monsoon,32.0344995003266,90.23826120434809,Private Security Services,3265,18,410
9,Monsoon,34.90293946337369,89.67593914053892,"Building, Construction and Real Estate",4330,10,190
5,Summer,42.05880212905071,6.535073751844446,Media and Entertainment,2649,16,521
7,Monsoon,37.97124975718974,69.7511607060213,Retail,2650,12,404
6,Monsoon,31.42786482284287,79.12004038449625,Textile and Clothing,2579,11,365
12,Winter,43.10853116496348,10.678909535093306,"Travel, Tourism and Hospitality",4734,24,521
11,Winter,41.88910134643173,24.719724303650924,Telecommunications,3768,21,602
8,Monsoon,39.43380804477998,33.84184627231563,Electronics and IT hardware,2635,15,665
10,Winter,29.10731489111277,42.38915437785611,Telecommunications,1803,10,608
4,Summer,36.85399943426079,5.1785042233097665,Retail,2662,16,396
9,Monsoon,31.90901360487532,60.65537586006387,Auto and Auto Components,1946,12,505
5,Summer,38.03496373696005,0.136307637185743,Pharmaceuticals,1756,7,568
7,Monsoon,27.004623932059516,20.516761199679088,Auto and Auto Components,1342,10,489
3,Summer,38.236624749013714,7.068781019041341,Retail,1895,10,415
2,Winter,30.16210343958093,16.131078884802434,Agriculture,3001,16,344
5,Summer,40.343767831861385,5.451901268545464,Pharmaceuticals,3142,14,561
1,Winter,33.91754272315564,28.82944595347198,Food Processing,4535,26,405
9,Monsoon,21.291354156149772,20.109302187726943,Retail,1243,9,391
6,Monsoon,22.89620133855292,44.9979811068194,Furniture and Furnishing,4200,20,420
1,Winter,28.016396033025966,13.210221113489872,Beauty and Wellness,1425,11,409
11,Winter,22.469976108269197,3.2760215106866997,Agriculture,3469,18,359
6,Monsoon,35.85596304506046,67.51438455265705,Pharmaceuticals,4655,21,557
7,Monsoon,23.3977667939703,62.97554955507101,Electronics and IT hardware,2596,13,676
7,Monsoon,26.70129002731246,80.88574925420431,Leather and Leather Goods,3663,18,401
10,Winter,38.60072595259436,21.366177564244076,Beauty and Wellness,1439,11,405
11,Winter,32.01831390119264,16.42194218604939,"Travel, Tourism and Hospitality",3770,20,502
4,Summer,38.65705169655269,9.834325198809195,Electronics and IT hardware,1053,9,657
2,Winter,32.01774847227425,29.806909037878537,Food Processing,1288,8,385
9,Monsoon,33.70410934766807,20.117554968180027,Electronics and IT hardware,3784,21,659
2,Winter,39.01121834309497,23.26728661505931,Domestic Help,3558,20,301
6,Monsoon,23.74162028678992,74.59941352592713,Telecommunications,1160,6,594
4,Summer,43.34976953233966,3.0432971572839875,Handlooms and Handicrafts,1762,8,388
6,Monsoon,29.34021413566703,29.283580700134646,Auto and Auto Components,1359,11,517
6,Monsoon,30.986242084716743,55.40337693272104,Food Processing,3291,14,423
11,Winter,32.982378668019436,2.085345498823632,Private Security Services,4370,24,419
8,Monsoon,28.72411103521799,21.82347213001421,Media and Entertainment,3953,22,508
5,Summer,40.092001863711346,4.887094269261672,Banking and Financial Services,1865,10,705
11,Winter,32.76991581014492,15.79911682091955,Textile and Clothing,1036,7,357
9,Monsoon,27.490621909974376,98.91207131935523,"Building, Construction and Real Estate",2652,5,167
4,Summer,47.09779182794436,7.015181435886126,Textile and Clothing,2612,15,350
5,Summer,36.6241584909151,4.288283294162571,Telecommunications,2286,11,618
1,Winter,41.02072336375716,8.901595226079301,Food Processing,3284,21,417
9,Monsoon,29.847925538386107,44.469624879997156,Domestic Help,4113,24,306
10,Winter,29.18646662868896,41.108402396047445,Auto and Auto Components,3759,21,516
10,Winter,37.864773732009795,9.939731409643777,"Building, Construction and Real Estate",2882,16,453
2,Winter,33.988212039230376,49.908390677711395,Telecommunications,1364,7,597
3,Summer,43.92272775253532,8.913486160150565,Furniture and Furnishing,2620,16,395
7,Monsoon,25.87344655590855,79.07496996664577,"Transportation, Logistics",3244,14,460
12,Winter,35.67678285698067,21.89944769155311,Pharmaceuticals,3606,21,563
3,Summer,47.4418722706986,6.0193599861666724,Handlooms and Handicrafts,4841,27,371
5,Summer,36.8962576312897,0.11502948304539795,Textile and Clothing,4458,20,362
10,Winter,33.2222082011137,42.40297979619991,IT and ITeS,3520,21,823
8,Monsoon,20.247244498755688,63.24431049828512,Agriculture,2044,29,791
7,Monsoon,20.298524234177723,38.29405029452001,"Travel, Tourism and Hospitality",3369,19,491
4,Summer,47.498812945546625,0.5861968326568312,"Building, Construction and Real Estate",3730,23,437
